NAME,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/1/2010,0.12,0,41,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/2/2010,0,0,42,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/3/2010,0,0,41,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/4/2010,0.01,0,35,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/5/2010,0.25,0,34,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/6/2010,0.01,0,24,7
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/7/2010,0,0,13,0
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/8/2010,0,0,12,-1
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/9/2010,0,0,23,9
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/10/2010,0,0,32,17
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/11/2010,0,0,31,17
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/12/2010,0.04,0,38,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/13/2010,0,0,34,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/14/2010,0,0,40,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/15/2010,0,0,46,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/16/2010,0,0,45,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/17/2010,0,0,33,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/18/2010,0,0,45,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/19/2010,0.02,0,34,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/20/2010,0,0,38,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/21/2010,0,0,39,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/22/2010,0,0,34,20
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/23/2010,0.02,0,29,21
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/24/2010,0.05,1,32,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/25/2010,0.02,0,31,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/26/2010,0.02,1,32,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/27/2010,0.01,0,39,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/28/2010,0,0,35,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/29/2010,0,0,38,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/30/2010,0,0,34,19
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,1/31/2010,0.16,0,33,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/1/2010,0,2,36,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/2/2010,0.02,0,33,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/3/2010,0,0,33,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/4/2010,0.04,0,35,20
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/5/2010,0.01,0,33,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/6/2010,0,0,39,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/7/2010,0,0,35,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/8/2010,0,0,35,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/9/2010,0,0,34,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/10/2010,0.01,0,34,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/11/2010,0.01,0,38,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/12/2010,0,0,46,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/13/2010,0,0,44,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/14/2010,0.03,0,41,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/15/2010,0.06,0,43,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/16/2010,0,0,40,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/17/2010,0,0,47,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/18/2010,0,0,41,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/19/2010,0,0,38,19
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/20/2010,0,0,35,20
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/21/2010,0,0,34,15
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/22/2010,0,0,41,14
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/23/2010,0,0,47,16
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/24/2010,0.02,0,44,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/25/2010,0,0,50,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/26/2010,0,0,51,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/27/2010,0,0,49,34
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,2/28/2010,0,0,56,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/1/2010,0,0,55,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/2/2010,0,0,47,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/3/2010,0.15,0,56,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/4/2010,0,0,53,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/5/2010,0,0,55,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/6/2010,0,0,55,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/7/2010,0,0,57,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/8/2010,0.24,0,51,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/9/2010,0.15,0,36,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/10/2010,0,0,40,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/11/2010,0,0,47,19
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/12/2010,0,0,59,34
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/13/2010,0,0,45,33
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/14/2010,0,0,53,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/15/2010,0,0,58,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/16/2010,0,0,62,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/17/2010,0,0,55,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/18/2010,0,0,52,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/19/2010,0,0,49,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/20/2010,0,0,57,18
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/21/2010,0.06,0,58,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/22/2010,0.04,0,48,33
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/23/2010,0,0,50,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/24/2010,0,0,57,23
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/25/2010,0,0,53,25
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/26/2010,0,0,50,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/27/2010,0,0,57,33
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/28/2010,0,0,62,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/29/2010,0.34,0,56,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/30/2010,0.04,0,47,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,3/31/2010,0,0,44,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/1/2010,0,0,46,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/2/2010,0,0,49,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/3/2010,0,0,46,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/4/2010,0,0,50,26
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/5/2010,0.05,0,50,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/6/2010,0,0,47,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/7/2010,0,0,49,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/8/2010,0.03,0,45,28
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/9/2010,0,0,44,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/10/2010,0,0,54,20
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/11/2010,0.06,0,50,33
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/12/2010,0,0,54,35
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/13/2010,0.67,0,40,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/14/2010,0.02,0,59,37
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/15/2010,0,0,67,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/16/2010,0,0,75,35
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/17/2010,0,0,66,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/18/2010,0,0,68,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/19/2010,0,0,74,34
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/20/2010,0,0,82,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/21/2010,0,0,78,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/22/2010,0,0,57,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/23/2010,0,0,59,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/24/2010,0,0,53,35
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/25/2010,0,0,51,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/26/2010,0,0,63,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/27/2010,0.14,0,63,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/28/2010,0.04,0,45,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/29/2010,0.12,0,43,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,4/30/2010,0.05,0,50,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/1/2010,0.08,0,49,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/2/2010,0,0,53,37
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/3/2010,0.17,0,59,35
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/4/2010,0,0,46,29
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/5/2010,0.01,0,49,22
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/6/2010,0,0,50,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/7/2010,0,0,57,24
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/8/2010,0.05,0,57,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/9/2010,0.01,0,55,32
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/10/2010,0,0,65,27
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/11/2010,0.02,0,62,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/12/2010,0,0,62,36
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/13/2010,0,0,71,31
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/14/2010,0,0,75,34
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/15/2010,0,0,72,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/16/2010,0,0,81,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/17/2010,0,0,86,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/18/2010,0.26,0,75,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/19/2010,0,0,70,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/20/2010,0.12,0,56,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/21/2010,0,0,60,30
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/22/2010,0.02,0,60,39
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/23/2010,0,0,58,35
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/24/2010,0.03,0,47,38
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/25/2010,0,0,67,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/26/2010,0.03,0,72,37
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/27/2010,0.21,0,69,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/28/2010,0.36,0,49,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/29/2010,0.14,0,57,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/30/2010,0,0,65,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,5/31/2010,0.15,0,62,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/1/2010,0.44,0,65,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/2/2010,0.29,0,63,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/3/2010,0.02,0,66,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/4/2010,0.37,0,60,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/5/2010,0,0,68,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/6/2010,0.2,0,68,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/7/2010,0.43,0,63,49
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/8/2010,0.01,0,73,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/9/2010,0.15,0,62,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/10/2010,0.07,0,59,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/11/2010,0.08,0,65,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/12/2010,0,0,71,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/13/2010,0,0,80,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/14/2010,0.05,0,79,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/15/2010,0,0,73,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/16/2010,0.7,0,57,44
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/17/2010,0.5,0,48,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/18/2010,0,0,67,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/19/2010,0.03,0,75,42
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/20/2010,0.13,0,73,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/21/2010,0.19,0,63,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/22/2010,0,0,72,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/23/2010,0,0,80,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/24/2010,0.1,0,81,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/25/2010,0,0,80,54
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/26/2010,0,0,81,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/27/2010,0,0,82,46
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/28/2010,0,0,92,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/29/2010,0.28,0,86,61
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,6/30/2010,0.07,0,78,52
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/1/2010,0,0,78,45
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/2/2010,0.07,0,69,50
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/3/2010,0.04,0,69,48
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/4/2010,0.01,0,72,41
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/5/2010,0.1,0,69,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/6/2010,0,0,74,40
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/7/2010,0,0,83,43
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/8/2010,0,0,89,47
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/9/2010,0,0,94,51
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/10/2010,0,0,89,53
"MISSOULA INTERNATIONAL AIRPORT, MT US",972.9,7/11/2010,0.01,0,85,58
